Year,Last_Harvest,Patch_Population,Validated
2000,0,19212,after
2001,0,19212,after
2002,0,19212,after
2003,0,19212,after
2004,2004,19212,after
2005,2004,10001,after
2006,2004,9954,after
2007,2004,1066,after
2008,2004,1038,after
2009,2004,1056,after
2010,2010,1469,after
2011,2010,2069,after
2012,2010,3593,after
2013,2010,4539,after
2014,2010,4846,after
2015,2010,7127,after
2016,2010,9808,after
2017,2010,11764,after
2018,2010,11766,after
2019,2010,11762,after
2000,0,4086,before
2001,0,4975,before
2002,0,7871,before
2003,0,14584,before
2005,2004,14001,before
2006,2004,14367,before
2007,2004,20476,before
2008,2004,55673,before
2009,2004,58939,before
2010,2010,86075,before
2011,2010,85983,before
2012,2010,84808,before
2013,2010,93222,before
2014,2010,194531,before
2015,2010,279278,before
2016,2010,303325,before
2017,2010,301960,before
2018,2010,304937,before
2019,2010,471885,before
2000,0,1505,before
2001,0,3105,before
2002,0,3182,before
2003,0,3478,before
2004,0,3514,before
2005,0,3522,before
2006,0,4221,before
2007,0,4501,before
2008,0,7001,before
2009,2009,7596,before
2010,2009,7742,before
2011,2009,7991,before
2012,2009,9455,before
2013,2009,48679,before
2014,2009,53565,before
2015,2009,54445,before
2016,2009,61828,before
2017,2009,65064,before
2018,2009,67044,before
2019,2009,68290,before